DATE,COM,COM_MM,COM_YY,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OINT,SERIES
20220622,ACF  ,07,2026,0,0,0,0,230,0,0,ACFN26
20220622,ACF  ,08,2026,0,0,0,0,230,0,0,ACFQ26
20220622,ACF  ,09,2026,0,0,0,0,230,0,0,ACFU26
20220622,ACF  ,10,2026,0,0,0,0,230,0,0,ACFV26
20220622,ACF  ,11,2026,0,0,0,0,230,0,0,ACFX26
20220622,ACF  ,12,2026,0,0,0,0,230,0,0,ACFZ26
20220622,AJ   ,07,2022,0,0,0,0,93.87,0,0,AJN22
20220622,AJ   ,08,2022,0,0,0,0,93.72,0,0,AJQ22
20220622,AJ   ,09,2022,0,0,0,0,93.49,0,0,AJU22
20220622,AJ   ,10,2022,0,0,0,0,93.29,0,0,AJV22
20220622,AJ   ,11,2022,0,0,0,0,93.04,0,0,AJX22
20220622,AJ   ,12,2022,0,0,0,0,92.71,0,0,AJZ22
20220622,AJ   ,01,2023,0,0,0,0,92.4,0,0,AJF23
20220622,AJ   ,02,2023,0,0,0,0,92.08,0,0,AJG23
20220622,AJ   ,03,2023,0,0,0,0,91.75,0,0,AJH23
20220622,AJ   ,04,2023,0,0,0,0,91.33,0,0,AJJ23
20220622,AJ   ,05,2023,0,0,0,0,91,0,0,AJK23
20220622,AJ   ,06,2023,0,0,0,0,90.58,0,0,AJM23
20220622,AJRT ,06,2022,0,0,0,0,2392,0,0,AJRTM22
20220622,AJRT ,07,2022,0,0,0,0,2382.5,0,0,AJRTN22
20220622,AJRT ,08,2022,0,0,0,0,2360.5,0,0,AJRTQ22
20220622,AJRT ,09,2022,0,0,0,0,2362.5,0,0,AJRTU22
20220622,AJRT ,12,2022,0,0,0,0,2356.5,0,0,AJRTZ22
20220622,AJRT ,03,2023,0,0,0,0,2336.5,0,0,AJRTH23
20220622,AJRT ,06,2023,0,0,0,0,2335,0,0,AJRTM23
20220622,AJRT ,09,2023,0,0,0,0,2310,0,0,AJRTU23
20220622,AJRT ,12,2023,0,0,0,0,2306.5,0,0,AJRTZ23
20220622,AJRT ,03,2024,0,0,0,0,2287.5,0,0,AJRTH24
20220622,AJRT ,06,2024,0,0,0,0,2284.5,0,0,AJRTM24
20220622,AJRT ,09,2024,0,0,0,0,2261,0,0,AJRTU24
20220622,AJRT ,12,2024,0,0,0,0,2256.5,0,0,AJRTZ24
20220622,AJRT ,03,2025,0,0,0,0,2236.5,0,0,AJRTH25
20220622,AMF  ,06,2022,0,0,0,0,0,0,0,AMFM22
20220622,AMF  ,07,2022,0,0,0,0,6000,0,831,AMFN22
20220622,AMF  ,08,2022,0,0,0,0,6025,0,666,AMFQ22
20220622,AMF  ,09,2022,0,0,0,0,6050,0,315,AMFU22
20220622,AMF  ,10,2022,0,0,0,0,6065,0,265,AMFV22
20220622,AMF  ,11,2022,0,0,0,0,6165,0,165,AMFX22
20220622,AMF  ,12,2022,0,0,0,0,6155,0,65,AMFZ22
20220622,AMF  ,01,2023,0,0,0,0,6165,0,0,AMFF23
20220622,AMF  ,02,2023,0,0,0,0,6165,0,0,AMFG23
20220622,AMF  ,03,2023,0,0,0,0,6165,0,0,AMFH23
20220622,AMF  ,04,2023,0,0,0,0,6165,0,0,AMFJ23
20220622,AMF  ,05,2023,0,0,0,0,6165,0,0,AMFK23
20220622,AMF  ,06,2023,0,0,0,0,6165,0,0,AMFM23
20220622,AMF  ,07,2023,0,0,0,0,6165,0,0,AMFN23
20220622,AMF  ,08,2023,0,0,0,0,6100,0,0,AMFQ23
20220622,AMF  ,09,2023,0,0,0,0,6100,0,0,AMFU23
20220622,AMF  ,10,2023,0,0,0,0,6100,0,0,AMFV23
20220622,AMF  ,11,2023,0,0,0,0,6100,0,0,AMFX23
20220622,AMF  ,12,2023,0,0,0,0,6100,0,0,AMFZ23
20220622,AU   ,07,2022,0,0,0,0,0.6904,0,0,AUN22
